Dataset,Precision,Recall,F1
case1,1.0,1.0,1.0
case10,1.0,1.0,1.0
case11,1.0,1.0,1.0
case12,0.5833333333333334,0.5833333333333334,0.5833333333333334
case13,1.0,1.0,1.0
case14,0.8571428571428571,0.8571428571428571,0.8571428571428571
case15,0.6666666666666666,0.6,0.631578947368421
case16,0.5714285714285714,0.8,0.6666666666666666
case17,0.6666666666666666,0.5714285714285714,0.6153846153846153
case18,0.375,0.75,0.5
case19,0.8,0.8,0.8000000000000002
case2,0.875,1.0,0.9333333333333333
case20,0.6,0.75,0.6666666666666665
case21,0.5333333333333333,0.5333333333333333,0.5333333333333333
case22,0.5,0.5454545454545454,0.5217391304347826
case23,0.8333333333333334,0.8333333333333334,0.8333333333333334
case24,1.0,1.0,1.0
case25,0.6,0.6,0.6
case3,1.0,1.0,1.0
case4,0.7142857142857143,1.0,0.8333333333333333
case5,0.5,0.75,0.6
case6,1.0,1.0,1.0
case7,0.7272727272727273,0.7272727272727273,0.7272727272727273
case8,1.0,1.0,1.0
case9,1.0,1.0,1.0
