Dataset,Precision,Recall,F1
case01,1.0,1.0,1.0
case02,1.0,1.0,1.0
case03,1.0,1.0,1.0
case04,1.0,1.0,1.0
case05,1.0,1.0,1.0
case06,0.0,0.0,0.0
case07,0.0,0.0,0.0
case08,1.0,1.0,1.0
case09,1.0,1.0,1.0
case10,1.0,1.0,1.0
case11,1.0,1.0,1.0
case12,1.0,1.0,1.0
case13,1.0,1.0,1.0
case14,1.0,1.0,1.0
case15,1.0,0.6666666666666666,0.8
case16,1.0,0.5,0.6666666666666666
case17,0.0,0.0,0.0
case18,1.0,1.0,1.0
case19,1.0,1.0,1.0
case20,1.0,1.0,1.0
case21,1.0,0.5,0.6666666666666666
case22,1.0,1.0,1.0
case23,1.0,1.0,1.0
case24,1.0,1.0,1.0
case25,1.0,1.0,1.0
